"Vencimiento (Años)";"Curva Cero Cupón BCCR (Colones)";"Curva Cero Cupón FED (Dólares)"
0;4,25;5,27
0,09;4,29;5,09
0,17;4,34;4,93
0,25;4,38;4,79
0,34;4,42;4,66
0,42;4,46;4,55
0,5;4,5;4,45
0,59;4,54;4,37
0,67;4,58;4,29
0,75;4,62;4,22
0,84;4,66;4,15
0,92;4,69;4,100000000000001
1;4,73;4,05
1,09;4,77;4
1,17;4,81;3,96
1,25;4,84;3,93
1,34;4,88;3,9
1,42;4,92;3,87
1,5;4,95;3,84
1,59;4,99;3,82
1,67;5,02;3,8
1,75;5,050000000000001;3,78
1,84;5,09;3,77
1,92;5,12;3,75
2;5,16;3,74
2,09;5,19;3,73
2,17;5,220000000000001;3,72
2,25;5,25;3,71
2,34;5,29;3,7
2,42;5,319999999999999;3,69
2,5;5,35;3,69
2,59;5,38;3,68
2,67;5,41;3,68
2,75;5,44;3,67
2,84;5,47;3,67
2,92;5,5;3,67
3;5,53;3,66
3,09;5,56;3,66
3,17;5,58;3,66
3,25;5,609999999999999;3,66
3,34;5,64;3,65
3,42;5,67;3,65
3,5;5,69;3,65
3,59;5,72;3,65
3,67;5,75;3,65
3,75;5,77;3,65
3,84;5,800000000000001;3,65
3,92;5,83;3,65
4;5,850000000000001;3,65
4,09;5,88;3,65
4,17;5,899999999999999;3,65
4,25;5,93;3,65
4,34;5,949999999999999;3,66
4,42;5,970000000000001;3,66
4,5;6;3,66
4,59;6,02;3,66
4,67;6,04;3,66
4,75;6,069999999999999;3,66
4,84;6,09;3,67
4,92;6,11;3,67
5;6,13;3,67
5,09;6,15;3,67
5,17;6,18;3,67
5,25;6,2;3,68
5,34;6,22;3,68
5,42;6,239999999999999;3,68
5,5;6,260000000000001;3,69
5,59;6,279999999999999;3,69
5,67;6,3;3,69
5,75;6,32;3,69
5,84;6,34;3,7
5,92;6,36;3,7
6;6,38;3,7
6,09;6,4;3,71
6,17;6,41;3,71
6,25;6,43;3,71
6,34;6,45;3,72
6,42;6,47;3,72
6,5;6,49;3,73
6,59;6,5;3,73
6,67;6,52;3,73
6,75;6,54;3,74
6,84;6,56;3,74
6,92;6,569999999999999;3,74
7;6,59;3,75
7,09;6,600000000000001;3,75
7,17;6,619999999999999;3,76
7,25;6,64;3,76
7,34;6,65;3,76
7,42;6,67;3,77
7,5;6,68;3,77
7,59;6,7;3,78
7,67;6,710000000000001;3,78
7,75;6,73;3,78
7,84;6,74;3,79
7,92;6,75;3,79
8;6,77;3,8
8,09;6,78;3,8
8,17;6,800000000000001;3,81
8,25;6,81;3,81
8,34;6,819999999999999;3,81
8,42;6,84;3,82
8,5;6,850000000000001;3,82
8,59;6,859999999999999;3,83
8,67;6,87;3,83
8,75;6,890000000000001;3,84
8,84;6,9;3,84
8,92;6,909999999999999;3,85
9;6,92;3,85
9,09;6,93;3,85
9,17;6,950000000000001;3,86
9,25;6,959999999999999;3,86
9,34;6,97;3,87
9,42;6,98;3,87
9,5;6,99;3,88
9,59;7,000000000000001;3,88
9,67;7,01;3,89
9,75;7,02;3,89
9,84;7,03;3,89
9,92;7,04;3,9
10;7,049999999999999;3,9
10,09;7,06;3,91
10,17;7,07;3,91
10,25;7,08;3,92
10,34;7,090000000000001;3,92
10,42;7,1;3,93
10,5;7,109999999999999;3,93
10,59;7,12;3,93
10,67;7,13;3,94
10,75;7,140000000000001;3,94
10,84;7,140000000000001;3,95
10,92;7,149999999999999;3,95
11;7,16;3,96
11,09;7,17;3,96
11,17;7,180000000000001;3,96
11,25;7,180000000000001;3,97
11,34;7,19;3,97
11,42;7,199999999999999;3,98
11,5;7,21;3,98
11,59;7,22;3,99
11,67;7,22;3,99
11,75;7,23;3,99
11,84;7,24;4
11,92;7,24;4
12;7,249999999999999;4,01
12,09;7,26;4,01
12,17;7,26;4,01
12,25;7,27;4,02
12,34;7,28;4,02
12,42;7,28;4,03
12,5;7,290000000000001;4,03
12,59;7,3;4,03
12,67;7,3;4,04
12,75;7,31;4,04
12,84;7,31;4,05
12,92;7,32;4,05
13;7,32;4,05
13,09;7,33;4,06
